Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene name
ENSG00000259896,HG185_PATCH,40009797,40021683,KLHL11
ENSG00000154639,21,18884700,18965897,CXADR
ENSG00000101162,20,57594309,57601709,TUBB1
ENSG00000175063,20,44441215,44445596,UBE2C
ENSG00000198033,13,19747910,19755992,TUBA3C
ENSG00000198862,21,30300466,30365270,LTN1
ENSG00000136930,9,127115745,127177723,PSMB7
ENSG00000064601,20,44518783,44527459,CTSA
ENSG00000197361,15,63889552,63894627,FBXL22
ENSG00000230141,HSCHR6_MHC_MCF,33005421,33010855,HLA-DOA
ENSG00000103657,15,63900817,64126141,HERC1
ENSG00000168384,HSCHR6_MHC_MCF,33065822,33082016,HLA-DPA1
ENSG00000263238,HSCHR4_1_CTG12,156845270,156875063,CTSO
ENSG00000230763,HSCHR6_MHC_MCF,33077161,33088426,HLA-DPB1
ENSG00000044574,9,127997132,128003609,HSPA5
ENSG00000101182,20,60711791,60718496,PSMA7
ENSG00000114062,15,25582381,25684128,UBE3A
ENSG00000185019,20,3088219,3140842,UBOX5
ENSG00000119487,9,128199672,128469513,MAPKAP1
ENSG00000262418,HSCHR1_3_CTG31,198619288,198737899,PTPRC
ENSG00000136573,8,11351510,11422113,BLK
ENSG00000120217,9,5450503,5470566,CD274
ENSG00000197646,9,5510545,5571282,PDCD1LG2
ENSG00000129055,3,134196548,134205558,ANAPC13
ENSG00000087448,12,27932953,27955973,KLHL42
ENSG00000224103,HSCHR6_MHC_COX,32954322,32970527,HLA-DPA1
ENSG00000197548,3,11313995,11599139,ATG7
ENSG00000186074,17,72690452,72709117,CD300LF
ENSG00000137462,4,154622652,154626851,TLR2
ENSG00000240403,19,55361898,55378662,KIR3DL2
ENSG00000124508,6,26383324,26395102,BTN2A2
ENSG00000229597,HSCHR6_MHC_QBL,32318107,32332375,BTNL2
ENSG00000159202,17,46985731,47006418,UBE2Z
ENSG00000174775,11,532242,537287,HRAS
ENSG00000206308,HSCHR6_MHC_QBL,32365090,32370300,HLA-DRA
ENSG00000164308,5,96211643,96255420,ERAP2
ENSG00000068831,11,64494383,64512928,RASGRP2
ENSG00000196101,HSCHR6_MHC_QBL,32417557,32430644,HLA-DRB3
ENSG00000002586,X,2609220,2659350,CD99
ENSG00000181852,12,56598285,56615717,RNF41
ENSG00000213445,11,65405568,65418401,SIPA1
ENSG00000206306,HSCHR6_MHC_QBL,32481203,32511820,HLA-DRB1
ENSG00000206281,HSCHR6_MHC_QBL,33196314,33211013,TAPBP
ENSG00000206305,HSCHR6_MHC_QBL,32538584,32544863,HLA-DQA1
ENSG00000150337,1,149754227,149764074,FCGR1A
ENSG00000164162,4,145888264,146019693,ANAPC10
ENSG00000128731,15,28356186,28567298,HERC2
ENSG00000211934,14,106452671,106453170,IGHV1-2
ENSG00000173039,11,65421067,65430565,RELA
ENSG00000036257,2,225334867,225450110,CUL3
ENSG00000211937,14,106494135,106494597,IGHV2-5
ENSG00000123124,8,87354967,87490649,WWP1
ENSG00000225103,HSCHR6_MHC_QBL,32637805,32643664,HLA-DQA2
ENSG00000108306,17,37415384,37558776,FBXL20
ENSG00000013275,19,40476912,40487348,PSMC4
ENSG00000164520,6,150204511,150219238,RAET1E
ENSG00000108821,17,48260650,48278993,COL1A1
ENSG00000196610,HSCHR6_MHC_QBL,32652598,32660056,HLA-DQB2
ENSG00000211938,14,106518400,106518932,IGHV3-7
ENSG00000206299,HSCHR6_MHC_QBL,32718320,32735268,TAP2
ENSG00000088827,20,3667617,3687775,SIGLEC1
ENSG00000211941,14,106573233,106573800,IGHV3-11
ENSG00000211942,14,106586137,106586667,IGHV3-13
ENSG00000223793,HSCHR6_MHC_DBB,32688301,32694153,HLA-DQA2
ENSG00000228813,HSCHR6_MHC_DBB,32703042,32710500,HLA-DQB2
ENSG00000101017,20,44746911,44758502,CD40
ENSG00000084731,2,26149471,26205618,KIF3C
ENSG00000211949,14,106725201,106725733,IGHV3-23
ENSG00000111981,6,150285143,150294846,ULBP1
ENSG00000164733,8,11700033,11726957,CTSB
