Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene name
ENSG00000261577,HG185_PATCH,39910856,39943183,JUP
ENSG00000260245,HG185_PATCH,40023160,40075239,ACLY
ENSG00000260770,HG185_PATCH,40173272,40181893,NKIRAS2
ENSG00000260178,HG185_PATCH,40257656,40268985,DHX58
ENSG00000261378,HG185_PATCH,40281228,40311269,RAB5C
ENSG00000261371,HG183_PATCH,62399863,62491136,PECAM1
ENSG00000249139,20,44165625,44176065,EPPIN-WFDC6
ENSG00000068793,15,22892005,23006016,CYFIP1
ENSG00000261698,HG243_PATCH,145371194,145381813,DGAT1
ENSG00000101160,20,57570240,57582302,CTSZ
ENSG00000104043,15,50150435,50475014,ATP8B4
ENSG00000067900,18,18526867,18691812,ROCK1
ENSG00000142192,21,27252861,27543446,APP
ENSG00000140284,15,50474393,50528592,SLC27A2
ENSG00000136930,9,127115745,127177723,PSMB7
ENSG00000064601,20,44518783,44527459,CTSA
ENSG00000156261,21,30428126,30446118,CCT8
ENSG00000124256,20,56178902,56195632,ZBP1
ENSG00000267807,HG271_PATCH,79483771,79497647,ACTG1
ENSG00000101182,20,60711791,60718496,PSMA7
ENSG00000068308,X,48779305,48815648,OTUD5
ENSG00000240972,22,24236191,24237414,MIF
ENSG00000263014,HSCHR1_3_CTG31,198503840,198521562,ATP6V1G3
ENSG00000224774,HSCHR6_MHC_SSTO,31622960,31631270,CSNK2B
ENSG00000262418,HSCHR1_3_CTG31,198619288,198737899,PTPRC
ENSG00000206372,HSCHR6_MHC_QBL,31855958,31903846,C2
ENSG00000099246,10,27793197,27831143,RAB18
ENSG00000241253,HSCHR6_MHC_QBL,31903824,31910258,CFB
ENSG00000214643,6,49913814,49917157,DEFB133
ENSG00000177684,6,49927962,49931818,DEFB114
ENSG00000100985,20,44637547,44645200,MMP9
ENSG00000197548,3,11313995,11599139,ATG7
ENSG00000169398,8,141667999,142012315,PTK2
ENSG00000137462,4,154622652,154626851,TLR2
ENSG00000196954,11,104813593,104840163,CASP4
ENSG00000075651,3,171318195,171528740,PLD1
ENSG00000089250,12,117645947,117889975,NOS1
ENSG00000161980,16,96407,103628,POLR3K
ENSG00000108424,17,45726842,45762871,KPNB1
ENSG00000215182,11,1151580,1222364,MUC5AC
ENSG00000131236,1,40505905,40538321,CAP1
ENSG00000147614,8,86999552,87166457,ATP6V0D2
ENSG00000214642,6,49936390,49937338,DEFB113
ENSG00000203970,6,49976851,49989694,DEFB110
ENSG00000131504,5,140894583,140998622,DIAPH1
ENSG00000008438,19,46522411,46526323,PGLYRP1
ENSG00000180872,6,50011288,50016364,DEFB112
ENSG00000174775,11,532242,537287,HRAS
ENSG00000166226,12,69979114,69995350,CCT2
ENSG00000068831,11,64494383,64512928,RASGRP2
ENSG00000096384,6,44214824,44221620,HSP90AB1
ENSG00000137752,11,104896170,104972158,CASP1
ENSG00000150337,1,149754227,149764074,FCGR1A
ENSG00000241839,15,65134088,65160206,PLEKHO2
ENSG00000133048,1,203148059,203155877,CHI3L1
