Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene name
ENSG00000276858,CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1,54874219,54890443,FCAR
ENSG00000273738,CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1,54874290,54891462,FCAR
ENSG00000276676,CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1,54782658,54797195,KIR2DS5
ENSG00000276985,CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1,54945648,54961872,FCAR
ENSG00000274243,CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1,54782617,54797414,KIR2DS5
ENSG00000275136,CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1,54874257,54890481,FCAR
ENSG00000274563,CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1,54766539,54781397,KIR2DS5
ENSG00000275970,CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1,54873427,54889651,FCAR
ENSG00000275269,CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1,54860626,54876850,FCAR
ENSG00000280618,CHR_HSCHR15_1_CTG3,22903706,22981018,CYFIP1
ENSG00000280759,CHR_HSCHR11_2_CTG1,940735,1012239,AP2A2
ENSG00000281763,CHR_HSCHR3_2_CTG2_1,154275723,154284039,DHX36
ENSG00000277518,CHR_HSCHR11_2_CTG1,1012821,1043528,MUC6
ENSG00000273822,CHR_HSCHR3_3_CTG3,195744429,195789161,MUC4
ENSG00000277753,CHR_HSCHR3_5_CTG3,195719644,195739354,MUC20
ENSG00000273984,CHR_HSCHR3_7_CTG3,195745705,195790439,MUC4
ENSG00000278303,CHR_HSCHR3_5_CTG3,195744993,195789727,MUC4
ENSG00000276561,CHR_HSCHR11_1_CTG8,612805,616257,IRF7
ENSG00000278114,CHR_HSCHR3_4_CTG3,195720882,195741123,MUC20
ENSG00000276536,CHR_HSCHR11_1_CTG8,532242,537287,HRAS
ENSG00000278468,CHR_HSCHR3_4_CTG3,195746774,195792809,MUC4
ENSG00000276163,CHR_HSCHR19LRC_COX2_CTG3_1,54360692,54377679,LAIR1
ENSG00000281184,CHR_HSCHR6_1_CTG5,170544440,170544544,PSMB1
ENSG00000276145,CHR_HSCHR19LRC_LRC_J_CTG3_1,54069947,54081380,TARM1
ENSG00000274513,CHR_HSCHR19LRC_PGF2_CTG3_1,54274450,54281944,LILRB2
ENSG00000231350,CHR_HSCHR6_MHC_APD_CTG1,31047625,31053805,MUC21
ENSG00000276982,CHR_HSCHR19LRC_LRC_J_CTG3_1,54094681,54102740,OSCAR
ENSG00000274889,CHR_HSCHR19LRC_LRC_S_CTG3_1,54069947,54081380,TARM1
ENSG00000278154,CHR_HSCHR19LRC_PGF2_CTG3_1,54361220,54378234,LAIR1
ENSG00000281630,CHR_HSCHR3_7_CTG3,195720361,195740062,MUC20
ENSG00000277006,CHR_HSCHR8_3_CTG1,7462290,7467065,DEFB104B
ENSG00000274729,CHR_HSCHR8_3_CTG1,7479647,7481569,DEFB105B
ENSG00000275444,CHR_HSCHR8_3_CTG1,7406786,7408809,DEFB4B
ENSG00000273641,CHR_HSCHR8_3_CTG1,7420832,7422292,DEFB103B
ENSG00000277530,CHR_HSCHR8_3_CTG1,7487822,7501287,DEFB107B
ENSG00000275551,CHR_HSCHR19LRC_LRC_T_CTG3_1,54094681,54102740,OSCAR
ENSG00000275794,CHR_HSCHR8_3_CTG1,7474484,7478378,DEFB106B
ENSG00000274843,CHR_HSCHR3_3_CTG3,195719081,195738792,MUC20
ENSG00000278415,CHR_HSCHR19LRC_COX2_CTG3_1,54545136,54562282,FCAR
ENSG00000275123,CHR_HSCHR19LRC_LRC_T_CTG3_1,54069947,54081380,TARM1
ENSG00000276146,CHR_HSCHR19LRC_COX1_CTG3_1,54274195,54281689,LILRB2
ENSG00000274703,CHR_HSCHR19LRC_LRC_S_CTG3_1,54094681,54102740,OSCAR
ENSG00000232804,CHR_HSCHR6_MHC_APD_CTG1,31894767,31897281,HSPA1B
ENSG00000275430,CHR_HSCHR3_8_CTG3,195721575,195741387,MUC20
ENSG00000276613,CHR_HSCHR3_8_CTG3,195747140,195791872,MUC4
ENSG00000184494,CHR_HSCHR6_MHC_QBL_CTG1,31848038,31853285,NEU1
ENSG00000276701,CHR_HSCHR22_1_CTG7,23894004,23895227,MIF
ENSG00000277816,CHR_HSCHR19LRC_COX1_CTG3_1,54217107,54223520,LILRB3
ENSG00000275644,CHR_HSCHR19LRC_COX2_CTG3_1,54094681,54102740,OSCAR
ENSG00000206450,CHR_HSCHR6_MHC_QBL_CTG1,31259328,31347305,HLA-B
ENSG00000273686,CHR_HSCHR15_3_CTG8,44711489,44718888,B2M
ENSG00000278533,CHR_HSCHR19LRC_LRC_I_CTG3_1,54094681,54102740,OSCAR
ENSG00000275463,CHR_HSCHR19_4_CTG3_1,54274422,54281786,LILRB2
ENSG00000277178,CHR_HSCHR19LRC_LRC_I_CTG3_1,54069947,54081380,TARM1
ENSG00000237724,CHR_HSCHR6_MHC_COX_CTG1,31802834,31805316,HSPA1A
ENSG00000275384,CHR_HSCHR19LRC_COX2_CTG3_1,54069947,54081380,TARM1
ENSG00000277751,CHR_HSCHR19LRC_PGF1_CTG3_1,54274438,54278995,LILRB2
ENSG00000282049,CHR_HSCHR7_2_CTG6,142832063,142835652,PRSS2
ENSG00000278624,CHR_HSCHR19_5_CTG2,825097,832018,AZU1
ENSG00000277804,CHR_HSCHR19_5_CTG2,840960,848175,PRTN3
ENSG00000275564,CHR_HSCHR19LRC_PGF1_CTG3_1,54804243,54821411,FCAR
ENSG00000277571,CHR_HSCHR19_5_CTG2,851006,856290,ELANE
ENSG00000274619,CHR_HSCHR19_5_CTG2,859680,863666,CFD
ENSG00000243958,CHR_HSCHR6_MHC_SSTO_CTG1,32934853,32970271,PSMB9
ENSG00000282185,CHR_HSCHR7_1_CTG7,158291152,158424386,PTPRN2
ENSG00000278718,CHR_HSCHR8_3_CTG7,143553207,143563062,GSDMD
ENSG00000275990,CHR_HSCHR22_1_CTG5,36860995,36880544,NCF4
ENSG00000263014,CHR_HSCHR1_3_CTG31,198534710,198552432,ATP6V1G3
ENSG00000239836,CHR_HSCHR6_MHC_MANN_CTG1,32997896,33033347,PSMB9
ENSG00000262418,CHR_HSCHR1_3_CTG31,198650158,198733963,PTPRC
ENSG00000282607,CHR_HSCHR7_2_CTG6,142038524,142106747,MGAM
ENSG00000234343,CHR_HSCHR6_MHC_DBB_CTG1,31839844,31845091,NEU1
ENSG00000206372,CHR_HSCHR6_MHC_QBL_CTG1,31888164,31936056,C2
ENSG00000231543,CHR_HSCHR6_MHC_DBB_CTG1,31879966,31927861,C2
ENSG00000274575,CHR_HSCHR22_1_CTG3,22418863,22419379,IGLV1-40
ENSG00000273875,CHR_HSCHR19LRC_PGF2_CTG3_1,54069947,54081380,TARM1
ENSG00000274854,CHR_HSCHR22_1_CTG3,22380766,22381346,IGLV1-44
ENSG00000278293,CHR_HSCHR22_1_CTG3,22395019,22395490,IGLV7-43
ENSG00000278378,CHR_HSCHR19LRC_PGF2_CTG3_1,54094681,54102740,OSCAR
ENSG00000228691,CHR_HSCHR6_MHC_APD_CTG1,31924682,31929929,NEU1
ENSG00000275501,CHR_HSCHR3_6_CTG3,195720882,195741123,MUC20
ENSG00000227715,CHR_HSCHR6_MHC_MCF_CTG1,30021043,30024386,HLA-A
ENSG00000274110,CHR_HSCHR19LRC_PGF1_CTG3_1,54283996,54300924,LAIR1
ENSG00000276604,CHR_HSCHR19LRC_COX1_CTG3_1,54069947,54081380,TARM1
