Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene name
ENSG00000101160,20,57570240,57582302,CTSZ
ENSG00000064601,20,44518783,44527459,CTSA
ENSG00000263238,HSCHR4_1_CTG12,156845270,156875063,CTSO
ENSG00000081014,15,51200869,51298097,AP4E1
ENSG00000147614,8,86999552,87166457,ATP6V0D2
ENSG00000131238,1,40538379,40563375,PPT1
ENSG00000164733,8,11700033,11726957,CTSB
ENSG00000141458,18,21086148,21166862,NPC1
ENSG00000234846,HSCHR6_MHC_SSTO,31817326,31822599,NEU1
ENSG00000172543,11,65647280,65651212,CTSW
ENSG00000108784,17,40688190,40696467,NAGLU
ENSG00000227315,HSCHR6_MHC_COX,31812978,31818226,NEU1
ENSG00000164073,4,128838960,128887150,MFSD8
ENSG00000119899,6,74303102,74363878,SLC17A5
ENSG00000100478,14,31494312,31562818,AP4S1
ENSG00000263074,HG747_PATCH,66255298,66418847,ARSG
ENSG00000185009,10,75881524,75910821,AP3M1
ENSG00000117984,11,1773982,1785222,CTSD
ENSG00000125447,17,73232694,73258444,GGA3
ENSG00000262446,HSCHR1_2_CTG31,155219647,155229865,GBA
ENSG00000206329,HSCHR6_MHC_QBL,32078834,32089078,PPT2
ENSG00000256043,4,156845270,156875069,CTSO
ENSG00000144455,3,3742498,4508965,SUMF1
ENSG00000005893,X,119561682,119603220,LAMP2
ENSG00000107798,10,90973326,91174314,LIPA
ENSG00000141337,17,66255323,66418872,ARSG
ENSG00000100280,22,29723669,29819168,AP1B1
ENSG00000206256,HSCHR6_MHC_COX,32069682,32082453,PPT2
ENSG00000070371,22,19166986,19279239,CLTCL1
ENSG00000182287,X,15843929,15873054,AP1S2
ENSG00000197081,6,160390131,160534539,IGF2R
ENSG00000196188,1,206317459,206332104,CTSE
ENSG00000174080,11,66330934,66336312,CTSF
ENSG00000114378,3,50337320,50349812,HYAL1
ENSG00000117410,1,44440159,44443967,ATP6V0B
ENSG00000078081,3,182840001,182881627,LAMP3
ENSG00000179163,1,24171567,24194784,FUCA1
ENSG00000103066,16,68279207,68294961,PLA2G15
ENSG00000104763,8,17913934,17942494,ASAH1
ENSG00000163131,1,150702672,150738433,CTSS
ENSG00000143387,1,150768684,150780799,CTSK
ENSG00000090581,16,1401924,1413352,GNPTG
ENSG00000227600,HSCHR6_MHC_SSTO,32127544,32146625,PPT2
ENSG00000221838,7,99699172,99707968,AP4M1
ENSG00000105929,7,138391040,138484305,ATP6V0A4
ENSG00000228691,HSCHR6_MHC_APD,31836794,31842041,NEU1
ENSG00000071553,X,153656978,153664862,ATP6AP1
ENSG00000236649,HSCHR6_MHC_APD,32132559,32151099,PPT2
ENSG00000166311,11,6411655,6416228,SMPD1
ENSG00000038002,4,178351924,178363657,AGA
ENSG00000204386,6,31825436,31830683,NEU1
ENSG00000070718,8,42010464,42029191,AP3M2
ENSG00000018280,2,219246752,219261617,SLC11A1
ENSG00000177879,5,115177178,115249778,AP3S1
ENSG00000003056,12,9092959,9102551,M6PR
ENSG00000135535,6,109687717,109703762,CD164
ENSG00000111670,12,102139275,102224716,GNPTAB
ENSG00000166340,11,6634000,6640692,TPP1
ENSG00000135404,12,56119107,56123491,CD63
ENSG00000138760,4,77079890,77135046,SCARB2
ENSG00000110719,11,67806483,67818362,TCIRG1
ENSG00000127415,4,980785,998316,IDUA
ENSG00000197746,10,73576055,73611126,PSAP
ENSG00000185883,16,2563871,2570219,ATP6V0C
ENSG00000110911,12,51373184,51422349,SLC11A2
ENSG00000054983,14,88304164,88460009,GALC
ENSG00000104341,8,98787285,98865241,LAPTM4B
ENSG00000129354,19,10683347,10697991,AP1M2
ENSG00000165102,8,42995556,43057998,HGSNAT
ENSG00000122705,9,36190853,36304778,CLTA
ENSG00000100083,22,38004481,38029571,GGA1
ENSG00000262208,HG325_PATCH,50337321,50349813,HYAL1
ENSG00000213614,15,72635775,72668817,HEXA
ENSG00000166747,16,71762913,71843104,AP1G1
ENSG00000102805,13,77564795,77576652,CLN5
ENSG00000184494,HSCHR6_MHC_QBL,31815830,31821077,NEU1
ENSG00000102393,X,100652791,100662913,GLA
ENSG00000107331,9,139901686,139923367,ABCA2
ENSG00000197217,8,23243296,23315208,ENTPD4
ENSG00000150967,12,123405498,123466196,ABCB9
ENSG00000047249,8,54628117,54756118,ATP6V1H
ENSG00000223957,HSCHR6_MHC_MANN,31865098,31870345,NEU1
ENSG00000103174,16,5074845,5084142,NAGPA
ENSG00000049860,5,73935848,74018472,HEXB
ENSG00000102575,19,11685475,11689823,ACP5
ENSG00000168452,HSCHR6_MHC_MANN,32160665,32179182,PPT2
ENSG00000175416,5,175819456,175843570,CLTB
ENSG00000162511,1,31205316,31230667,LAPTM5
ENSG00000137976,1,84864215,84880701,DNASE2B
ENSG00000104774,19,12757325,12777556,MAN2B1
ENSG00000141367,17,57697219,57773671,CLTC
ENSG00000131400,19,50861734,50869087,NAPSA
ENSG00000234343,HSCHR6_MHC_DBB,31807625,31812872,NEU1
ENSG00000198951,22,42454358,42466846,NAGA
ENSG00000185896,13,113951556,113977987,LAMP1
ENSG00000221988,6,32121218,32134011,PPT2
ENSG00000135047,9,90340434,90346308,CTSL
ENSG00000105612,19,12986025,12992282,DNASE2
ENSG00000106367,7,100797678,100804877,AP1S1
