Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene name
ENSG00000276996,CHR_HSCHR5_3_CTG1,1392790,1449666,SLC6A3
ENSG00000176105,18,721588,812546,YES1
ENSG00000069535,X,43766610,43882450,MAOB
ENSG00000103266,16,680224,682870,STUB1
ENSG00000100030,22,21759657,21867680,MAPK1
ENSG00000185651,22,21549447,21624034,UBE2L3
ENSG00000142319,5,1392794,1445440,SLC6A3
ENSG00000197122,20,37344685,37406050,SRC
ENSG00000254087,8,55879835,56014169,LYN
ENSG00000116288,1,7954291,7985505,PARK7
ENSG00000088832,20,1368977,1393164,FKBP1A
ENSG00000165025,9,90801787,90898549,SYK
ENSG00000137841,15,40278176,40307935,PLCB2
ENSG00000154277,4,41256413,41268455,UCHL1
ENSG00000136827,9,129812942,129824244,TOR1A
ENSG00000198873,10,119207571,119459745,GRK5
ENSG00000101266,20,472498,543835,CSNK2A1
ENSG00000101336,20,32052197,32101856,HCK
ENSG00000167755,19,50958631,50969673,KLK6
ENSG00000120899,8,27311482,27459391,PTK2B
ENSG00000185345,6,161347417,162727775,PRKN
ENSG00000075651,3,171600404,171810950,PLD1
ENSG00000102882,16,30114105,30123506,MAPK3
ENSG00000010810,6,111660332,111873452,FYN
ENSG00000180176,11,2163929,2171815,TH
ENSG00000112640,6,42984553,43012342,PPP2R5D
ENSG00000145335,4,89700345,89838315,SNCA
ENSG00000136573,8,11486894,11564599,BLK
ENSG00000002330,11,64269830,64284704,BAD
ENSG00000129219,17,4807152,4823434,PLD2
ENSG00000163932,3,53156009,53192717,PRKCD
ENSG00000182866,1,32251239,32286165,LCK
ENSG00000000938,1,27612064,27635185,FGR
