Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene name
ENSG00000273947,CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1,54738538,54753053,KIR2DL3
ENSG00000276779,CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1,54803599,54814548,KIR2DL4
ENSG00000273735,CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1,54864204,54872914,KIR3DL2
ENSG00000276820,CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1,54813971,54828213,KIR2DL1
ENSG00000273775,CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1,54816442,54830745,KIR3DL1
ENSG00000275732,CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1,54847612,54858688,KIR2DL4
ENSG00000277554,CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1,54738470,54752993,KIR2DL3
ENSG00000278074,CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1,54803565,54814279,KIR2DL4
ENSG00000277272,CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1,54816451,54830756,KIR3DL1
ENSG00000276044,CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1,54833799,54844782,KIR2DL4
ENSG00000277355,CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1,54789806,54800882,KIR2DL4
ENSG00000277334,CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1,54892528,54896443,NCR1
ENSG00000276379,CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1,54816496,54820397,KIR3DL1
ENSG00000277484,CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1,54738471,54753005,KIR2DL3
ENSG00000273575,CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1,54803379,54814527,KIR2DL4
ENSG00000273510,CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1,54769838,54784324,KIR2DL1
ENSG00000275237,CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1,54789912,54800893,KIR2DL4
ENSG00000277616,CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1,54814388,54828892,KIR2DL1
ENSG00000275717,CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1,54816473,54830785,KIR3DL1
ENSG00000278606,CHR_HSCHR19KIR_G085_A_HAP_CTG3_1,54803296,54814484,KIR2DL4
ENSG00000276501,CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1,54861074,54875379,KIR3DL1
ENSG00000278805,CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1,54814475,54828769,KIR2DL1
ENSG00000274692,CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1,54769275,54783790,KIR2DL1
ENSG00000276424,CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1,54895138,54911932,KIR3DL2
ENSG00000276423,CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1,54802859,54817155,KIR3DL1
ENSG00000274948,CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1,54816448,54830767,KIR3DL1
ENSG00000275786,CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1,54816499,54830812,KIR3DL1
ENSG00000278427,CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1,54802842,54817184,KIR3DL1
ENSG00000275276,CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1,54769704,54783960,KIR2DL1
ENSG00000275659,CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1,54814901,54878560,KIR3DL1
ENSG00000274189,CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1,54848193,54859216,KIR2DL4
ENSG00000277982,CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1,54877123,54893917,KIR3DL2
ENSG00000275080,CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1,54798381,54812886,KIR2DL1
ENSG00000275511,CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1,54864251,54881045,KIR3DL2
ENSG00000274945,CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1,54848094,54859121,KIR2DL4
ENSG00000274722,CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1,54836820,54853592,KIR3DL2
ENSG00000278850,CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1,54849551,54866326,KIR3DL2
ENSG00000273518,CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1,54816451,54830756,KIR3DL1
ENSG00000274782,CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1,54769765,54784000,KIR2DL1
ENSG00000277833,CHR_HSCHR19KIR_G085_A_HAP_CTG3_1,54769756,54784259,KIR2DL1
ENSG00000277964,CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1,54803571,54814487,KIR2DL4
ENSG00000276329,CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1,54861173,54875478,KIR3DL1
ENSG00000274830,CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1,54738514,54753065,KIR2DL3
ENSG00000278369,CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1,54738530,54753070,KIR2DL3
ENSG00000274955,CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1,54803541,54814525,KIR2DL4
ENSG00000276004,CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1,54850300,54867064,KIR3DL2
ENSG00000275699,CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1,54803535,54814517,KIR2DL4
ENSG00000274193,CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1,54789815,54800891,KIR2DL4
ENSG00000275008,CHR_HSCHR19KIR_GRC212_AB_HAP_CTG3_1,54738018,54752516,KIR2DL3
ENSG00000274402,CHR_HSCHR19KIR_G085_A_HAP_CTG3_1,54738465,54752989,KIR2DL3
ENSG00000275521,CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1,54906121,54910036,NCR1
ENSG00000275486,CHR_HSCHR19KIR_G085_A_HAP_CTG3_1,54816441,54830746,KIR3DL1
ENSG00000278474,CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1,54880532,54897308,KIR3DL2
ENSG00000276590,CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1,54738496,54752881,KIR2DL3
