Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene name
ENSG00000277445,CHR_HSCHR15_5_CTG8,82622289,82720771,CPEB1
ENSG00000273772,CHR_HSCHR5_1_CTG1_1,70070287,70099184,SMN2
ENSG00000262911,CHR_HSCHR21_4_CTG1_1,33495087,33501278,DNAJC28
ENSG00000277365,CHR_HSCHR22_3_CTG1,42085525,42090955,NDUFA6
ENSG00000276230,CHR_HSCHR11_1_CTG8,494512,507300,RNH1
ENSG00000272765,CHR_HSCHR22_1_CTG1,42085525,42090955,NDUFA6
ENSG00000281742,CHR_HSCHR5_1_CTG1_1,70912599,70929779,MCCC2
ENSG00000234495,CHR_HSCHR6_MHC_APD_CTG1,28902993,28923981,TRIM27
ENSG00000273397,CHR_HSCHR22_2_CTG1,42085525,42090955,NDUFA6
ENSG00000276536,CHR_HSCHR11_1_CTG8,532242,537287,HRAS
ENSG00000273944,CHR_HSCHR19LRC_LRC_J_CTG3_1,55077480,55096373,RDH13
ENSG00000282367,CHR_HSCHR11_1_CTG8,473895,491399,PTDSS2
ENSG00000262217,CHR_HSCHR12_3_CTG2_1,101161669,101216388,SLC5A8
ENSG00000278501,CHR_HSCHR17_3_CTG2,997117,1003671,TIMM22
ENSG00000228978,CHR_HSCHR6_MHC_APD_CTG1,31643520,31645322,TNF
ENSG00000275474,CHR_HSCHR19LRC_LRC_S_CTG3_1,55052029,55070922,RDH13
ENSG00000274504,CHR_HSCHR19LRC_LRC_T_CTG3_1,54988322,55007215,RDH13
ENSG00000232804,CHR_HSCHR6_MHC_APD_CTG1,31894767,31897281,HSPA1B
ENSG00000276341,CHR_HSCHR19LRC_LRC_I_CTG3_1,55049943,55068836,RDH13
ENSG00000276826,CHR_HSCHR19LRC_COX2_CTG3_1,54715159,54734052,RDH13
ENSG00000276021,CHR_HSCHR17_1_CTG2,1716523,1738610,WDR81
ENSG00000277571,CHR_HSCHR19_5_CTG2,851006,856290,ELANE
ENSG00000273607,CHR_HSCHR22_1_CTG7,23765834,23768443,CHCHD10
