Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene name
ENSG00000262446,CHR_HSCHR1_2_CTG31,155249852,155260266,GBA
ENSG00000184494,CHR_HSCHR6_MHC_QBL_CTG1,31848038,31853285,NEU1
ENSG00000263238,CHR_HSCHR4_1_CTG12,155924118,155953911,CTSO
ENSG00000234343,CHR_HSCHR6_MHC_DBB_CTG1,31839844,31845091,NEU1
ENSG00000228691,CHR_HSCHR6_MHC_APD_CTG1,31924682,31929929,NEU1
ENSG00000206256,CHR_HSCHR6_MHC_COX_CTG1,32101899,32112151,PPT2
ENSG00000168452,CHR_HSCHR6_MHC_MANN_CTG1,32192849,32211366,PPT2
ENSG00000227600,CHR_HSCHR6_MHC_SSTO_CTG1,32160569,32179650,PPT2
ENSG00000236649,CHR_HSCHR6_MHC_APD_CTG1,32220447,32238987,PPT2
ENSG00000228116,CHR_HSCHR6_MHC_DBB_CTG1,32129213,32134104,PPT2
ENSG00000206329,CHR_HSCHR6_MHC_QBL_CTG1,32111042,32121288,PPT2
ENSG00000227315,CHR_HSCHR6_MHC_COX_CTG1,31845195,31850443,NEU1
ENSG00000231618,CHR_HSCHR6_MHC_MCF_CTG1,32229863,32248406,PPT2
ENSG00000070371,22,19179473,19291719,CLTCL1
ENSG00000223957,CHR_HSCHR6_MHC_MANN_CTG1,31897282,31902529,NEU1
ENSG00000234846,CHR_HSCHR6_MHC_SSTO_CTG1,31850351,31855624,NEU1
ENSG00000227129,CHR_HSCHR6_MHC_MCF_CTG1,31934136,31939383,NEU1
ENSG00000185896,13,113297239,113323672,LAMP1
ENSG00000141458,18,23506184,23586506,NPC1
ENSG00000100083,22,37608725,37633564,GGA1
ENSG00000102805,13,76990660,77019143,CLN5
ENSG00000134575,11,47239302,47248906,ACP2
ENSG00000010404,X,149476988,149521096,IDS
ENSG00000144455,3,3700814,4467273,SUMF1
ENSG00000166311,11,6390440,6394998,SMPD1
ENSG00000114378,3,50299890,50312381,HYAL1
ENSG00000170266,3,32996609,33097202,GLB1
ENSG00000127415,4,986997,1004564,IDUA
ENSG00000197217,8,23385783,23457695,ENTPD4
ENSG00000110719,11,68039025,68050895,TCIRG1
ENSG00000169919,7,65960684,65982215,GUSB
ENSG00000054983,14,87837820,87993665,GALC
ENSG00000198951,22,42058334,42070842,NAGA
ENSG00000162511,1,30732469,30757774,LAPTM5
ENSG00000100600,14,92703807,92748679,LGMN
ENSG00000101160,20,58985686,59008238,CTSZ
ENSG00000178597,4,7430285,7434930,PSAPL1
ENSG00000049860,5,74640023,74722647,HEXB
ENSG00000113273,5,78777209,78986087,ARSB
ENSG00000106367,7,101154456,101161596,AP1S1
ENSG00000135535,6,109366514,109382467,CD164
ENSG00000081014,15,50908672,51005895,AP4E1
ENSG00000100280,22,29327680,29388583,AP1B1
ENSG00000104341,8,97775057,97853013,LAPTM4B
ENSG00000141367,17,59619689,59696956,CLTC
ENSG00000119655,14,74476192,74494177,NPC2
ENSG00000141012,16,88813734,88856970,GALNS
ENSG00000100299,22,50622754,50628173,ARSA
ENSG00000111670,12,101745499,101830959,GNPTAB
ENSG00000064601,20,45890144,45898949,CTSA
ENSG00000182287,X,15825806,15854931,AP1S2
ENSG00000131400,19,50358477,50365830,NAPSA
ENSG00000177879,5,115841592,115914081,AP3S1
ENSG00000105929,7,138706294,138799560,ATP6V0A4
ENSG00000102393,X,101393273,101408012,GLA
ENSG00000147614,8,85987323,86154225,ATP6V0D2
ENSG00000103174,16,5024844,5034141,NAGPA
ENSG00000107331,9,137007234,137028922,ABCA2
ENSG00000068697,2,20032650,20051628,LAPTM4A
ENSG00000005893,X,120426148,120469365,LAMP2
ENSG00000119899,6,73593379,73653992,SLC17A5
ENSG00000134243,1,109309568,109397918,SORT1
ENSG00000071553,X,154428633,154436516,ATP6AP1
ENSG00000221838,7,100101549,100110345,AP4M1
ENSG00000047249,8,53715543,53843558,ATP6V1H
ENSG00000134262,1,113894194,113905201,AP4B1
ENSG00000078081,3,183122215,183163839,LAMP3
ENSG00000103066,16,68245304,68261058,PLA2G15
ENSG00000104763,8,18055992,18084998,ASAH1
ENSG00000065000,19,2100988,2164468,AP3D1
ENSG00000135047,9,87724051,87731469,CTSL
ENSG00000100448,14,24573518,24576250,CTSG
ENSG00000038002,4,177430774,177442437,AGA
ENSG00000103365,16,23463542,23521995,GGA2
ENSG00000185883,16,2513952,2520218,ATP6V0C
ENSG00000003056,12,8940361,8949761,M6PR
ENSG00000165102,8,43140464,43202855,HGSNAT
ENSG00000171298,17,80101556,80119881,GAA
ENSG00000181523,17,80206716,80220923,SGSH
ENSG00000136943,9,97029677,97156556,CTSV
ENSG00000122705,9,36190856,36304781,CLTA
ENSG00000196743,5,151212150,151270440,GM2A
ENSG00000164073,4,127917799,127966034,MFSD8
ENSG00000152056,2,223751686,223838027,AP1S3
ENSG00000185009,10,74120255,74150842,AP3M1
ENSG00000164733,8,11842524,11869533,CTSB
ENSG00000072958,19,16197854,16245906,AP1M1
ENSG00000070718,8,42152946,42171673,AP3M2
ENSG00000197746,10,71816298,71851325,PSAP
ENSG00000107798,10,89213569,89414557,LIPA
ENSG00000159720,16,67438014,67481181,ATP6V0D1
ENSG00000102575,19,11574660,11579008,ACP5
ENSG00000197081,6,159969082,160113507,IGF2R
ENSG00000157823,15,89830599,89894638,AP3S2
ENSG00000204386,6,31857659,31862905,NEU1
ENSG00000132842,5,78002326,78294698,AP3B1
ENSG00000129226,17,7579491,7582111,CD68
ENSG00000100478,14,31025106,31130996,AP4S1
ENSG00000188603,16,28474111,28495575,CLN3
ENSG00000090674,19,7522624,7534009,MCOLN1
ENSG00000103811,15,78921058,78949574,CTSH
ENSG00000185344,12,123712353,123761755,ATP6V0A2
ENSG00000104774,19,12646511,12666742,MAN2B1
ENSG00000040531,17,3636459,3663103,CTNS
ENSG00000105612,19,12875209,12881466,DNASE2
ENSG00000103723,15,82659281,82710112,AP3B2
ENSG00000109861,11,88265069,88359684,CTSC
ENSG00000117984,11,1752752,1764573,CTSD
ENSG00000129354,19,10572671,10587315,AP1M2
ENSG00000174080,11,66563464,66568879,CTSF
ENSG00000150967,12,122920951,122981649,ABCB9
ENSG00000256043,4,155921580,155953912,CTSO
ENSG00000018280,2,218382029,218396894,SLC11A1
ENSG00000221988,6,32153441,32163678,PPT2
ENSG00000135404,12,55725323,55729707,CD63
ENSG00000090581,16,1351931,1365737,GNPTG
ENSG00000213614,15,72340924,72376420,HEXA
ENSG00000172543,11,65879809,65883741,CTSW
ENSG00000166747,16,71729000,71809201,AP1G1
ENSG00000175416,5,176392501,176416539,CLTB
ENSG00000109323,4,102630770,102760994,MANBA
ENSG00000138760,4,76158737,76234536,SCARB2
ENSG00000177628,1,155234452,155244699,GBA
ENSG00000135677,12,64713445,64759431,GNS
ENSG00000125447,17,75236599,75262363,GGA3
ENSG00000108784,17,42536241,42544449,NAGLU
ENSG00000166340,11,6612768,6619448,TPP1
ENSG00000110911,12,50979401,51028566,SLC11A2
ENSG00000033627,17,42458844,42522582,ATP6V0A1
ENSG00000141337,17,68259182,68422731,ARSG
ENSG00000179163,1,23845077,23868290,FUCA1
ENSG00000131238,1,40072710,40097260,PPT1
ENSG00000117410,1,43974487,43978295,ATP6V0B
ENSG00000196188,1,206008535,206023909,CTSE
ENSG00000143387,1,150794880,150809577,CTSK
ENSG00000163131,1,150730079,150765957,CTSS
ENSG00000137976,1,84398484,84415018,DNASE2B
