Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene name
ENSG00000136573,8,11351510,11422113,BLK
ENSG00000075651,3,171318195,171528740,PLD1
ENSG00000103266,16,730224,732870,STUB1
ENSG00000002330,11,64037302,64052176,BAD
ENSG00000180176,11,2185159,2193107,TH
ENSG00000101266,20,459116,524465,CSNK2A1
ENSG00000102882,16,30125426,30134827,MAPK3
ENSG00000088832,20,1349622,1373806,FKBP1A
ENSG00000136827,9,132575223,132586413,TOR1A
ENSG00000129219,17,4710391,4726729,PLD2
ENSG00000185651,22,21903736,21978323,UBE2L3
ENSG00000069535,X,43625858,43741693,MAOB
ENSG00000112640,6,42952237,42980080,PPP2R5D
ENSG00000100030,22,22108789,22221970,MAPK1
ENSG00000176105,18,721588,812547,YES1
ENSG00000137841,15,40570377,40600136,PLCB2
ENSG00000198873,10,120967101,121215131,GRK5
ENSG00000000938,1,27938575,27961788,FGR
ENSG00000154277,4,41258430,41270472,UCHL1
ENSG00000010810,6,111981535,112194655,FYN
ENSG00000142319,5,1392909,1445545,SLC6A3
ENSG00000101336,20,30639991,30689659,HCK
ENSG00000254087,8,56792372,56923940,LYN
ENSG00000120899,8,27168999,27316903,PTK2B
ENSG00000116288,1,8014351,8045565,PARK7
ENSG00000165025,9,93564069,93660831,SYK
ENSG00000167755,19,51461887,51472929,KLK6
ENSG00000182866,1,32716840,32751766,LCK
ENSG00000163932,3,53190025,53226733,PRKCD
ENSG00000145335,4,90645250,90759466,SNCA
ENSG00000197122,20,35973088,36034453,SRC
ENSG00000273482,HG957_PATCH,53190025,53226733,PRKCD
