Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene name
ENSG00000280759,CHR_HSCHR11_2_CTG1,940735,1012239,AP2A2
ENSG00000275338,CHR_HSCHR16_CTG2,425619,526533,RAB11FIP3
ENSG00000232804,CHR_HSCHR6_MHC_APD_CTG1,31894767,31897281,HSPA1B
ENSG00000262607,CHR_HSCHR12_1_CTG1,70780,175481,IQSEC3
ENSG00000237724,CHR_HSCHR6_MHC_COX_CTG1,31802834,31805316,HSPA1A
ENSG00000236251,CHR_HSCHR6_MHC_COX_CTG1,31796990,31802435,HSPA1L
ENSG00000274145,CHR_HSCHR17_1_CTG2,1646145,1650077,RILP
ENSG00000276358,CHR_HSCHR17_2_CTG5,45435902,45490401,PLEKHM1
ENSG00000277111,CHR_HSCHR17_1_CTG5,45435832,45490687,PLEKHM1
ENSG00000226704,CHR_HSCHR6_MHC_APD_CTG1,31876648,31882094,HSPA1L
ENSG00000206383,CHR_HSCHR6_MHC_QBL_CTG1,31799855,31805300,HSPA1L
ENSG00000235941,CHR_HSCHR6_MHC_APD_CTG1,31882493,31884975,HSPA1A
ENSG00000281385,CHR_HSCHR11_3_CTG1,940735,1019087,AP2A2
ENSG00000234475,CHR_HSCHR6_MHC_DBB_CTG1,31797650,31800132,HSPA1A
ENSG00000231555,CHR_HSCHR6_MHC_DBB_CTG1,31809921,31812441,HSPA1B
ENSG00000224455,CHR_HSCHR6_MHC_MCF_CTG1,33420661,33442416,VPS52
ENSG00000277292,CHR_HSCHR17_7_CTG4,38566476,38600913,PIP4K2B
ENSG00000223618,CHR_HSCHR6_MHC_MANN_CTG1,33404140,33405839,VPS52
ENSG00000280616,CHR_HG2217_PATCH,119067691,119081977,VPS11
ENSG00000215328,CHR_HSCHR6_MHC_QBL_CTG1,31805699,31808181,HSPA1A
ENSG00000224501,CHR_HSCHR6_MHC_COX_CTG1,31815107,31817630,HSPA1B
ENSG00000236014,CHR_HSCHR6_MHC_SSTO_CTG1,33390441,33412193,VPS52
ENSG00000282854,CHR_HSCHR1_4_CTG3,23436027,23492032,ASAP3
ENSG00000168461,18,9708275,9862551,RAB31
ENSG00000228425,CHR_HSCHR6_MHC_DBB_CTG1,33228191,33249968,VPS52
ENSG00000234258,CHR_HSCHR6_MHC_DBB_CTG1,31791805,31797251,HSPA1L
ENSG00000070371,22,19179473,19291719,CLTCL1
ENSG00000078142,18,41955234,42087830,PIK3C3
ENSG00000225590,CHR_HSCHR6_MHC_COX_CTG1,33171888,33193647,VPS52
ENSG00000212866,CHR_HSCHR6_MHC_QBL_CTG1,31817974,31820498,HSPA1B
ENSG00000205726,21,33642400,33899861,ITSN1
ENSG00000284126,CHR_HG2088_PATCH,99027438,99144100,SMURF1
ENSG00000284369,CHR_HG2266_PATCH,107201555,107564647,COG5
ENSG00000206286,CHR_HSCHR6_MHC_QBL_CTG1,33179079,33200871,VPS52
ENSG00000283883,CHR_HG2285_HG106_HG2252_PATCH,470782,683831,VPS53
ENSG00000136152,13,45464898,45536701,COG3
ENSG00000132872,18,43267892,43277535,SYT4
ENSG00000133103,13,39655627,39791665,COG6
ENSG00000285339,CHR_HG2419_PATCH,144423600,144428562,VPS28
ENSG00000159082,21,32628759,32728040,SYNJ1
ENSG00000182220,X,40579372,40606848,ATP6AP2
ENSG00000242247,22,42796502,42858106,ARFGAP3
ENSG00000288169,CHR_HG2087_PATCH,7339566,7354514,ACAP1
ENSG00000100083,22,37608725,37633564,GGA1
ENSG00000285302,CHR_HG1_PATCH,24209582,24213868,CHMP4A
ENSG00000242802,7,4775615,4794397,AP5Z1
ENSG00000100266,22,42835412,43015149,PACSIN2
ENSG00000129515,14,34561093,34630160,SNX6
ENSG00000120645,12,66767,178455,IQSEC3
ENSG00000144711,3,12897043,13283281,IQSEC1
ENSG00000082805,12,990509,1495933,ERC1
ENSG00000165527,14,49893082,49897054,ARF6
ENSG00000107295,9,17579066,17797124,SH3GL2
ENSG00000029725,17,5282265,5386340,RABEP1
ENSG00000147010,X,19533977,19887600,SH3KBP1
ENSG00000124209,20,58309715,58367507,RAB22A
ENSG00000137177,6,17759183,17987635,KIF13A
ENSG00000136100,13,52412602,52450634,VPS36
ENSG00000155975,8,17246931,17302427,VPS37A
ENSG00000105355,19,4838341,4867694,PLIN3
ENSG00000147457,8,23243637,23262000,CHMP7
ENSG00000078053,7,38383704,38631420,AMPH
ENSG00000124222,20,58651253,58679526,STX16
ENSG00000053770,14,57268924,57298742,AP5M1
ENSG00000119541,18,63389190,63422483,VPS4B
ENSG00000170248,3,33798571,33869707,PDCD6IP
ENSG00000149182,11,47164299,47177125,ARFGAP2
ENSG00000155252,10,97640686,97676434,PI4K2A
ENSG00000167461,19,16111889,16134234,RAB8A
ENSG00000198668,14,90396502,90408268,CALM1
ENSG00000101199,20,63272785,63289790,ARFGAP1
ENSG00000144674,3,37243177,37366751,GOLGA4
ENSG00000049245,1,7771296,7781432,VAMP3
ENSG00000006125,17,35578046,35726413,AP2B1
ENSG00000178950,4,849276,932373,GAK
ENSG00000122126,X,129539849,129592561,OCRL
ENSG00000011347,11,61513714,61581148,SYT7
ENSG00000197892,8,29067278,29263124,KIF13B
ENSG00000107242,9,68705240,69009176,PIP5K1B
ENSG00000124333,X,155881345,155943769,VAMP7
ENSG00000130475,19,17747718,17788568,FCHO1
ENSG00000088280,1,23428563,23484568,ASAP3
ENSG00000069329,16,46656132,46689518,VPS35
ENSG00000123570,X,103822327,103832257,RAB9B
ENSG00000107560,10,118004916,118046941,RAB11FIP2
ENSG00000006715,7,38722974,38932394,VPS41
ENSG00000101421,20,33811348,33854366,CHMP4B
ENSG00000157978,1,25543606,25568886,LDLRAP1
ENSG00000151693,2,9206765,9405683,ASAP2
ENSG00000089006,20,17941597,17968980,SNX5
ENSG00000073921,11,85957175,86069882,PICALM
ENSG00000124507,6,34466061,34535229,PACSIN1
ENSG00000164077,3,49907160,49930173,MON1A
ENSG00000166128,15,63189560,63267776,RAB8B
ENSG00000131242,17,31391675,31538211,RAB11FIP4
ENSG00000065609,6,83552880,83709691,SNAP91
ENSG00000090565,16,425649,523011,RAB11FIP3
ENSG00000106367,7,101154456,101161596,AP1S1
ENSG00000137486,11,75260122,75351705,ARRB1
ENSG00000136935,9,124878275,124948492,GOLGA1
ENSG00000112305,6,70667776,70862011,SMAP1
ENSG00000067715,12,78863993,79452008,SYT1
ENSG00000130724,19,58551566,58555105,CHMP2A
ENSG00000036054,3,100260992,100325251,TBC1D23
ENSG00000126581,17,42810134,42833350,BECN1
ENSG00000079950,6,132445867,132513198,STX7
ENSG00000153071,5,39371675,39462300,DAB2
ENSG00000013016,2,31234152,31269451,EHD3
ENSG00000049283,17,50532682,50543750,EPN3
ENSG00000009844,6,142147162,142224685,VTA1
ENSG00000125843,20,3820524,3828838,AP5S1
ENSG00000196814,9,126326829,126507041,MVB12B
ENSG00000198382,11,75815210,76144232,UVRAG
ENSG00000103111,16,77190835,77202398,MON1B
ENSG00000103966,15,41895933,41972557,EHD4
ENSG00000100139,22,37905657,37942822,MICALL1
ENSG00000164695,8,81732448,81759515,CHMP4C
ENSG00000149823,11,65089324,65111862,VPS51
ENSG00000179562,7,127580628,127593611,GCC1
ENSG00000086065,9,33264879,33282070,CHMP5
ENSG00000081014,15,50908672,51005895,AP4E1
ENSG00000100280,22,29327680,29388583,AP1B1
ENSG00000101997,X,49235470,49250520,CCDC22
ENSG00000124198,20,48921711,49036693,ARFGEF2
ENSG00000104142,15,40894450,40903975,VPS18
ENSG00000225190,17,45435900,45490749,PLEKHM1
ENSG00000141367,17,59619689,59696956,CLTC
ENSG00000157107,5,72956041,73090522,FCHO2
ENSG00000102003,X,49187815,49200199,SYP
ENSG00000109971,11,123057489,123063230,HSPA8
ENSG00000114520,3,125446650,125520202,SNX4
ENSG00000182287,X,15825806,15854931,AP1S2
ENSG00000139436,12,109929802,109996389,GIT2
ENSG00000112335,6,108211222,108261246,SNX3
ENSG00000177879,5,115841592,115914081,AP3S1
ENSG00000135631,2,73073382,73156721,RAB11FIP5
ENSG00000116675,1,65248219,65415871,DNAJC6
ENSG00000167578,19,40778216,40796942,RAB4B
ENSG00000215305,20,2840703,2866732,VPS16
ENSG00000173163,2,61888724,62147247,COMMD1
ENSG00000106976,9,128191655,128255248,DNM1
ENSG00000146005,5,139795808,139844466,PSD2
ENSG00000118640,2,85561562,85582031,VAMP8
ENSG00000166685,17,73192632,73208507,COG1
ENSG00000153317,8,130052104,130443674,ASAP1
ENSG00000159210,17,48929316,48944842,SNF8
ENSG00000102189,12,92770637,92929331,EEA1
ENSG00000205302,5,122775079,122834543,SNX2
ENSG00000097033,1,86704570,86748184,SH3GLB1
ENSG00000110047,11,64851642,64888296,EHD1
ENSG00000140600,15,83447228,83618743,SH3GL3
ENSG00000254505,14,24209615,24213830,CHMP4A
ENSG00000134243,1,109309568,109397918,SORT1
ENSG00000221838,7,100101549,100110345,AP4M1
ENSG00000123595,X,13689128,13710504,RAB9A
ENSG00000135968,2,108449191,108509415,GCC2
ENSG00000179364,14,105300563,105398147,PACS2
ENSG00000120805,12,101393116,101407772,ARL1
ENSG00000115561,2,86503430,86563479,CHMP3
ENSG00000125733,19,6737925,6751530,TRIP10
ENSG00000103769,15,65726054,65891989,RAB11A
ENSG00000134262,1,113894194,113905201,AP4B1
ENSG00000136631,1,150067279,150145329,VPS45
ENSG00000140022,14,81260656,81436465,STON2
ENSG00000143398,1,151197949,151249536,PIP5K1A
ENSG00000100568,14,67647085,67674820,VTI1B
ENSG00000065000,19,2100988,2164468,AP3D1
ENSG00000151532,10,112446998,112818744,VTI1A
